"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"mol.L-1","MOL-PER-L","Mole Per Liter","http://qudt.org/vocab/unit/MOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1000,NA,NA,0
"mol.kg-1.Pa-1","MOL-PER-KiloGM-PA","Mole per Kilogram Pascal","http://qudt.org/vocab/unit/MOL-PER-KiloGM-PA","http://qudt.org/vocab/dimensionvector/A1E0L1I0M-2H0T2D0",1,NA,"Mole Per Kilogram Pascal (\(mol/kg-pa\)) is a unit of Molar Mass variation due to Pressure.",0
"mol.kg-1","MOL-PER-KiloGM","Mol per Kilogram","http://qudt.org/vocab/unit/MOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1,NA,"Mole Per Kilogram (\(mol/kg\)) is a unit of Molality",0
"mol.K","MOL-K","Mole Kelvin","http://qudt.org/vocab/unit/MOL-K","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0",1,NA,"<p><strong>Mole Kelvin</strong> is a unit for \textit{'Temperature Amount Of Substance'} expressed as \(mol-K\)</p>.",0
"mol.h-1","MOL-PER-HR","Mole Per Hour","http://qudt.org/vocab/unit/MOL-PER-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",0.000277778,NA,NA,0
"mol.g-1.h-1","MOL-PER-GM-HR","Moles per gram per hour","http://qudt.org/vocab/unit/MOL-PER-GM-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",0.277777777777778,NA,NA,0
"mol.dm-3","MOL-PER-DeciM3","Mole Per Cubic Decimeter","http://qudt.org/vocab/unit/MOL-PER-DeciM3","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1000,NA,NA,0
"mol.Cel","MOL-DEG_C","Mole Degree Celsius","http://qudt.org/vocab/unit/MOL-DEG_C","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0",NA,NA,"\(\textbf{Mole Degree Celsius} is a C.G.S System unit for 'Temperature Amount Of Substance' expressed as \(mol-degC\).",0
"MOL-PER-SEC","MOL-PER-SEC","Mole Per Second","http://qudt.org/vocab/unit/MOL-PER-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-MOL","MOL-PER-MOL","Moles per mole","http://qudt.org/vocab/unit/MOL-PER-MOL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,0
