"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"dimensionless","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,72531
"number","NUM","Number","http://qudt.org/vocab/unit/NUM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,"""Number"" is a unit for  'Dimensionless' expressed as (\#\).",NA,32014
"percent","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",26491
"meters per second","M-PER-SEC","Meter per Second","http://qudt.org/vocab/unit/M-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,"Metre per second is an SI derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.
The official SI symbolic abbreviation is mu00b7s-1, or equivalently either m/s.",NA,26373
"celsius","DEG_C","Degree Celsius","http://qudt.org/vocab/unit/DEG_C","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",1,NA,"\(\textit{Celsius}\), also known as centigrade, is a scale and unit of measurement for temperature. It can refer to a specific temperature on the Celsius scale as well as a unit to indicate a temperature interval, a difference between two temperatures or an uncertainty. This definition fixes the magnitude of both the degree Celsius and the kelvin as precisely 1 part in 273.16 (approximately 0.00366) of the difference between absolute zero and the triple point of water. Thus, it sets the magnitude of one degree Celsius and that of one kelvin as exactly the same. Additionally, it establishes the difference between the two scales' null points as being precisely \(273.15\,^{\circ}{\rm C}\).</p>",21276
"meter","M","Meter","http://qudt.org/vocab/unit/M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1,NA,"The metric and SI base unit of distance.  The 17th General Conference on Weights and Measures in 1983 defined the meter as that distance that makes the speed of light in a vacuum equal to exactly 299 792 458 meters per second. The speed of light in a vacuum, \(c\), is one of the fundamental constants of nature. The meter is equal to approximately 1.093 613 3 yards, 3.280 840 feet, or 39.370 079 inches.",11649
"millimeter","MilliM","Millimeter","http://qudt.org/vocab/unit/MilliM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.001,"The millimetre (International spelling as used by the International Bureau of Weights and Measures) or millimeter (American spelling) (SI unit symbol mm) is a unit of length in the metric system, equal to one thousandth of a metre, which is the SI base unit of length. It is equal to 1000 micrometres or 1000000 nanometres. A millimetre is equal to exactly 5/127 (approximately 0.039370) of an inch.",NA,9536
"degree","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by \(^\circ\) (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  \(2\pi /360 rad\), \(0.017453 rad\). It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",8257
"centimeter","CentiM","Centimeter","http://qudt.org/vocab/unit/CentiM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.01,"A centimetre is a unit of length in the metric system, equal to one hundredth of a metre, which is the SI base unit of length. Centi is the SI prefix for a factor of 10.  The centimetre is the base unit of length in the now deprecated centimetre-gram-second (CGS) system of units.",NA,6580
"gram","GM","Gram","http://qudt.org/vocab/unit/GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.001,"A unit of mass in the metric system. The name comes from the Greek gramma, a small weight identified in later Roman and Byzantine times with the Latin scripulum or scruple (the English scruple is equal to about 1.3 grams). The gram was originally defined to be the mass of one cubic centimeter of pure water, but to provide precise standards it was necessary to construct physical objects of specified mass. One gram is now defined to be 1/1000 of the mass of the standard kilogram, a platinum-iridium bar carefully guarded by the International Bureau of Weights and Measures in Paris for more than a century. (The kilogram, rather than the gram, is considered the base unit of mass in the SI.) The gram is a small mass, equal to about 15.432 grains or 0.035 273 966 ounce.",NA,4399
"grampermetersquared","GM-PER-M2","Gram Per Square Meter","http://qudt.org/vocab/unit/GM-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",0.001,NA,NA,3943
"milligramsperliter","MilliGM-PER-L","Milligram Per Liter","http://qudt.org/vocab/unit/MilliGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.001,NA,NA,3372
"meterspersecond","M-PER-SEC","Meter per Second","http://qudt.org/vocab/unit/M-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,"Metre per second is an SI derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.
The official SI symbolic abbreviation is mu00b7s-1, or equivalently either m/s.",NA,3268
"nominalyear","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,2893
"wattpermetersquared","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",2777
"none","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,2572
"grampermetersquaredperday","GM-PER-M2-DAY","grams per square meter per day","http://qudt.org/vocab/unit/GM-PER-M2-DAY","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0",1.1574073e-08,NA,NA,2491
"nominalday","DAY","Day","http://qudt.org/vocab/unit/DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",86400,"Mean solar day",NA,2249
"meterpersecond","M-PER-SEC","Meter per Second","http://qudt.org/vocab/unit/M-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,"Metre per second is an SI derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.
The official SI symbolic abbreviation is mu00b7s-1, or equivalently either m/s.",NA,2245
"micromolepermetersquaredpersecond","MicroMOL-PER-M2-SEC","Micromoles per square metre per second","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1e-06,NA,NA,2143
"hectare","HA","Hectare","http://qudt.org/vocab/unit/HA","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",10000,"The customary metric unit of land area, equal to 100 ares. One hectare is a square hectometer, that is, the area of a square 100 meters on each side: exactly 10 000 square meters or approximately 107 639.1 square feet, 11 959.9 square yards, or 2.471 054 acres.",NA,1900
"volt","V","Volt","http://qudt.org/vocab/unit/V","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",1,NA,"\(\textit{Volt} is the SI unit of electric potential. Separating electric charges creates potential energy, which can be measured in energy units such as joules. Electric potential is defined as the amount of potential energy present per unit of charge. Electric potential is measured in volts, with one volt representing a potential of one joule per coulomb of charge. The name of the unit honors the Italian scientist Count Alessandro Volta (1745-1827), the inventor of the first battery.  The volt also may be expressed with a variety of other units. For example, a volt is also equal to one watt per ampere (W/A) and one joule per ampere per second (J/A/s).\)",1860
"micromoleperliter","MicroMOL-PER-L","Micromoles per litre","http://qudt.org/vocab/unit/MicroMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA,1820
"kilogrampercubicmeter","KiloGM-PER-M3","Kilogram per Cubic Meter","http://qudt.org/vocab/unit/KiloGM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1,NA,"Kilogram per cubic metre is an SI derived unit of density, defined by mass in kilograms divided by volume in cubic metres. The official SI symbolic abbreviation is \(kg \cdot m^{-3}\), or equivalently either \(kg/m^3\).",1779
"decibar","DeciBAR","Decibar","http://qudt.org/vocab/unit/DeciBAR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",10000,NA,"The bar is a non-SI unit of pressure, defined by the IUPAC as exactly equal to 100,000 Pa. It is about equal to the atmospheric pressure on Earth at sea level, and since 1982 the IUPAC has recommended that the standard for atmospheric pressure should be harmonized to \(100,000 Pa = 1 bar \approx 750.0616827 Torr\). Units derived from the bar are the megabar (symbol: Mbar), kilobar (symbol: kbar), decibar (symbol: dbar), centibar (symbol: cbar), and millibar (symbol: mbar or mb). They are not SI or cgs units, but they are accepted for use with the SI.",1745
"siemenspermeter","S-PER-M","Siemens Per Meter","http://qudt.org/vocab/unit/S-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1,NA,NA,1685
"milligramperliter","MilliGM-PER-L","Milligram Per Liter","http://qudt.org/vocab/unit/MilliGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.001,NA,NA,1612
"meters","M","Meter","http://qudt.org/vocab/unit/M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1,NA,"The metric and SI base unit of distance.  The 17th General Conference on Weights and Measures in 1983 defined the meter as that distance that makes the speed of light in a vacuum equal to exactly 299 792 458 meters per second. The speed of light in a vacuum, \(c\), is one of the fundamental constants of nature. The meter is equal to approximately 1.093 613 3 yards, 3.280 840 feet, or 39.370 079 inches.",1416
"microgramsperliter","MicroGM-PER-L","Microgram Per Liter","http://qudt.org/vocab/unit/MicroGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-06,NA,NA,1395
"gramspersquaremeter","GM-PER-M2","Gram Per Square Meter","http://qudt.org/vocab/unit/GM-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",0.001,NA,NA,1336
"nominalmonth","MO","Month","http://qudt.org/vocab/unit/MO","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",2551442.976,"A unit of time corresponding approximately to one cycle of the moon's phases, or about 30 days or 4 weeks. Also known as the 'Synodic Month' and calculated as 29.53059 days.",NA,1182
"numberpermetersquared","NUM-PER-M2","Number per square metre","http://qudt.org/vocab/unit/NUM-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0",1,NA,NA,1162
"microgramperliter","MicroGM-PER-L","Microgram Per Liter","http://qudt.org/vocab/unit/MicroGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-06,NA,NA,1143
"hour","HR","Hour","http://qudt.org/vocab/unit/HR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",3600,"The hour (common symbol: h or hr) is a unit of measurement of time. In modern usage, an hour comprises 60 minutes, or 3,600 seconds. It is approximately 1/24 of a mean solar day. An hour in the Universal Coordinated Time (UTC) time standard can include a negative or positive leap second, and may therefore have a duration of 3,599 or 3,601 seconds for adjustment purposes. Although it is not a standard defined by the International System of Units, the hour is a unit accepted for use with SI, represented by the symbol h.",NA,1026
"degrees celsius","DEG_C","Degree Celsius","http://qudt.org/vocab/unit/DEG_C","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",1,NA,"\(\textit{Celsius}\), also known as centigrade, is a scale and unit of measurement for temperature. It can refer to a specific temperature on the Celsius scale as well as a unit to indicate a temperature interval, a difference between two temperatures or an uncertainty. This definition fixes the magnitude of both the degree Celsius and the kelvin as precisely 1 part in 273.16 (approximately 0.00366) of the difference between absolute zero and the triple point of water. Thus, it sets the magnitude of one degree Celsius and that of one kelvin as exactly the same. Additionally, it establishes the difference between the two scales' null points as being precisely \(273.15\,^{\circ}{\rm C}\).</p>",999
"kilopascal","KiloPA","Kilopascal","http://qudt.org/vocab/unit/KiloPA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1000,"Kilopascal is a unit of pressure. 1 kPa is approximately the pressure exerted by a 10-g mass resting on a 1-cm2 area. 101.3 kPa = 1 atm. There are 1,000 pascals in 1 kilopascal.",NA,973
"degreecelcius","DEG_C","Degree Celsius","http://qudt.org/vocab/unit/DEG_C","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",1,NA,"\(\textit{Celsius}\), also known as centigrade, is a scale and unit of measurement for temperature. It can refer to a specific temperature on the Celsius scale as well as a unit to indicate a temperature interval, a difference between two temperatures or an uncertainty. This definition fixes the magnitude of both the degree Celsius and the kelvin as precisely 1 part in 273.16 (approximately 0.00366) of the difference between absolute zero and the triple point of water. Thus, it sets the magnitude of one degree Celsius and that of one kelvin as exactly the same. Additionally, it establishes the difference between the two scales' null points as being precisely \(273.15\,^{\circ}{\rm C}\).</p>",968
"kilogramsperhectare","KiloGM-PER-HA","Kilogram per Hectare","http://qudt.org/vocab/unit/KiloGM-PER-HA","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",1e-04,"Kilogram Per Hectare is a unit of mass per area. Kilogram Per Hectare (kg/ha) has a dimension of ML-2 where M is mass, and L is length. It can be converted to the corresponding standard SI unit kg/m2 by multiplying its value by a factor of 0.0001.",NA,923
"cubicmeterpercubicmeter","M3-PER-M3","Cubic Meter Per Cubic Meter","http://qudt.org/vocab/unit/M3-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,900
"percentabbr.","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",850
"count","NUM","Number","http://qudt.org/vocab/unit/NUM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,"""Number"" is a unit for  'Dimensionless' expressed as (\#\).",NA,846
"unitless","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,836
"squaremeter","M2","Square Meter","http://qudt.org/vocab/unit/M2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",1,"The S I unit of area is the square metre.",NA,824
"fraction","FRACTION","Fraction","http://qudt.org/vocab/unit/FRACTION","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,808
"degc","DEG_C","Degree Celsius","http://qudt.org/vocab/unit/DEG_C","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0",1,NA,"\(\textit{Celsius}\), also known as centigrade, is a scale and unit of measurement for temperature. It can refer to a specific temperature on the Celsius scale as well as a unit to indicate a temperature interval, a difference between two temperatures or an uncertainty. This definition fixes the magnitude of both the degree Celsius and the kelvin as precisely 1 part in 273.16 (approximately 0.00366) of the difference between absolute zero and the triple point of water. Thus, it sets the magnitude of one degree Celsius and that of one kelvin as exactly the same. Additionally, it establishes the difference between the two scales' null points as being precisely \(273.15\,^{\circ}{\rm C}\).</p>",805
"second","SEC","Second","http://qudt.org/vocab/unit/SEC","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",1,NA,"The \(Second\) (symbol: \(s\)) is the base unit of time in the International System of Units (SI) and is also a unit of time in other systems of measurement. Between the years1000 (when al-Biruni used seconds) and 1960 the second was defined as \(1/86400\) of a mean solar day (that definition still applies in some astronomical and legal contexts). Between 1960 and 1967, it was defined in terms of the period of the Earth's orbit around the Sun in 1900, but it is now defined more precisely in atomic terms.
Under the International System of Units (via the International Committee for Weights and Measures, or CIPM), since 1967 the second has been defined as the duration of \({9192631770}\) periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom.In 1997 CIPM added that the periods would be defined for a caesium atom at rest, and approaching the theoretical temperature of absolute zero, and in 1999, it included corrections from ambient radiation.",761
"partspermillion","PPM","Parts per million","http://qudt.org/vocab/unit/PPM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,"Dimensionless unit for concentration. Recommended practice is to use specific units such as \(ug/l\).",690
"minute","MIN","Minute","http://qudt.org/vocab/unit/MIN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",60,"A minute is a unit of measurement of time. The minute is a unit of time equal to 1/60 (the first sexagesimal fraction of an hour or 60 seconds. In the UTC time scale, a minute on rare occasions has 59 or 61 seconds; see leap second. The minute is not an SI unit; however, it is accepted for use with SI units. The SI symbol for minute or minutes is min (for time measurement) or the prime symbol after a number, e.g. 5' (for angle measurement, even if it is informally used for time).",NA,652
"decisiemenspermeter","DeciS-PER-M","decisiemens per meter","http://qudt.org/vocab/unit/DeciS-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",0.1,NA,NA,631
"microsiemens","MicroS","Microsiemens","http://qudt.org/vocab/unit/MicroS","http://qudt.org/vocab/dimensionvector/A0E2L-2I0M-1H0T3D0",1e-06,NA,NA,629
"year","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,614
"degrees","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by \(^\circ\) (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  \(2\pi /360 rad\), \(0.017453 rad\). It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",584
"day","DAY","Day","http://qudt.org/vocab/unit/DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",86400,"Mean solar day",NA,583
"inches","IN","Inch","http://qudt.org/vocab/unit/IN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.0254,"An inch is the name of a unit of length in a number of different systems, including Imperial units, and United States customary units. There are 36 inches in a yard and 12 inches in a foot. Corresponding units of area and volume are the square inch and the cubic inch.",NA,582
"metercubedpersecond","M3-PER-SEC","Cubic Meter per Second","http://qudt.org/vocab/unit/M3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1,NA,"A cubic metre per second (\(m^{3}s^{-1}, m^{3}/s\)), cumecs or cubic meter per second in American English) is a derived SI unit of flow rate equal to that of a stere or cube with sides of one metre ( u0303 39.37 in) in length exchanged or moving each second. It is popularly used for water flow, especially in rivers and streams, and fractions for HVAC values measuring air flow.",552
"percentage","PERCENT","Percent","http://qudt.org/vocab/unit/PERCENT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,"""Percent"" is a unit for  'Dimensionless Ratio' expressed as \(\%\).",518
"practicalsalinityunit","PSU","Practical salinity unit","http://qudt.org/vocab/unit/PSU","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,"Practical salinity scale 1978 (PSS-78) is used for ionic content of seawater determined by electrical conductivity. Salinities measured using PSS-78 do not have units, but are approximately scaled to parts-per-thousand for the valid range. The suffix psu or PSU (denoting practical salinity unit) is sometimes added to PSS-78 measurement values. The addition of PSU as a unit after the value is ""formally incorrect and strongly discouraged"".",NA,506
"kilogram","KiloGM","Kilogram","http://qudt.org/vocab/unit/KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1,NA,NA,502
"decimal degrees","DEG","Degree","http://qudt.org/vocab/unit/DEG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.0174532925,NA,"A degree (in full, a degree of arc, arc degree, or arcdegree), usually denoted by \(^\circ\) (the degree symbol), is a measurement of plane angle, representing 1/360 of a full rotation; one degree is equivalent to  \(2\pi /360 rad\), \(0.017453 rad\). It is not an SI unit, as the SI unit for angles is radian, but is an accepted SI unit.",491
"microgramspergram","MicroGM-PER-GM","Micrograms per gram","http://qudt.org/vocab/unit/MicroGM-PER-GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,466
"foot","FT","Foot","http://qudt.org/vocab/unit/FT","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.3048,"A foot is a unit of length defined as being 0.3048 m exactly and used in the imperial system of units and United States customary units. It is subdivided into 12 inches. The foot is still officially used in Canada and still commonly used in the United Kingdom, although the latter has partially metricated its units of measurement.",NA,452
"milligram","MilliGM","Milligram","http://qudt.org/vocab/unit/MilliGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1e-06,NA,NA,451
"month","MO","Month","http://qudt.org/vocab/unit/MO","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",2551442.976,"A unit of time corresponding approximately to one cycle of the moon's phases, or about 30 days or 4 weeks. Also known as the 'Synodic Month' and calculated as 29.53059 days.",NA,448
"numberperhectare","NUM-PER-HA","Number per hectare","http://qudt.org/vocab/unit/NUM-PER-HA","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0",1e+06,NA,NA,439
"numberpermetercubed","NUM-PER-M3","Number per cubic metre","http://qudt.org/vocab/unit/NUM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T0D0",1,NA,NA,426
"millibar","MilliBAR","Millibar","http://qudt.org/vocab/unit/MilliBAR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",100,NA,"The bar is a non-SI unit of pressure, defined by the IUPAC as exactly equal to 100,000 Pa. It is about equal to the atmospheric pressure on Earth at sea level, and since 1982 the IUPAC has recommended that the standard for atmospheric pressure should be harmonized to \(100,000 Pa = 1 bar \approx 750.0616827 Torr\). Units derived from the bar are the megabar (symbol: Mbar), kilobar (symbol: kbar), decibar (symbol: dbar), centibar (symbol: cbar), and millibar (symbol: mbar or mb). They are not SI or cgs units, but they are accepted for use with the SI.",412
"milliliter","MilliL","Millilitre","http://qudt.org/vocab/unit/MilliL","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1e-06,NA,NA,405
"cubiccentimeterspercubiccentimeter","CentiM3-PER-CentiM3","Cubic Centimeter Per Cubic Centimeter","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,NA,400
"milligrampergram","MilliGM-PER-GM","Milligram Per Gram","http://qudt.org/vocab/unit/MilliGM-PER-GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,NA,399
"nominalhour","HR","Hour","http://qudt.org/vocab/unit/HR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",3600,"The hour (common symbol: h or hr) is a unit of measurement of time. In modern usage, an hour comprises 60 minutes, or 3,600 seconds. It is approximately 1/24 of a mean solar day. An hour in the Universal Coordinated Time (UTC) time standard can include a negative or positive leap second, and may therefore have a duration of 3,599 or 3,601 seconds for adjustment purposes. Although it is not a standard defined by the International System of Units, the hour is a unit accepted for use with SI, represented by the symbol h.",NA,385
"milligramsperkilogram","MilliGM-PER-KiloGM","Milligram Per Kilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,370
"microgrampergram","MicroGM-PER-GM","Micrograms per gram","http://qudt.org/vocab/unit/MicroGM-PER-GM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,369
"inch","IN","Inch","http://qudt.org/vocab/unit/IN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.0254,"An inch is the name of a unit of length in a number of different systems, including Imperial units, and United States customary units. There are 36 inches in a yard and 12 inches in a foot. Corresponding units of area and volume are the square inch and the cubic inch.",NA,369
"micromolesperliter","MicroMOL-PER-L","Micromoles per litre","http://qudt.org/vocab/unit/MicroMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA,360
"numberperliter","NUM-PER-L","Number per litre","http://qudt.org/vocab/unit/NUM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T0D0",1000,NA,NA,354
"millimolepermetersquaredpersecond","MilliMOL-PER-M2-SEC","Millimoles per square metre per second","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",0.001,NA,NA,352
"squarecentimeters","CentiM2","Square Centimeter","http://qudt.org/vocab/unit/CentiM2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",1e-04,"A unit of area equal to that of a square, of sides 1cm",NA,344
"cubicmeter","M3","Cubic Meter","http://qudt.org/vocab/unit/M3","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1,"The SI unit of volume, equal to 1.0e6 cm3, 1000 liters, 35.3147 ft3, or 1.30795 yd3. A cubic meter holds about 264.17 U.S. liquid gallons or 219.99 British Imperial gallons.",NA,342
"w/m^2","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",337
"nominalminute","MIN","Minute","http://qudt.org/vocab/unit/MIN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",60,"A minute is a unit of measurement of time. The minute is a unit of time equal to 1/60 (the first sexagesimal fraction of an hour or 60 seconds. In the UTC time scale, a minute on rare occasions has 59 or 61 seconds; see leap second. The minute is not an SI unit; however, it is accepted for use with SI units. The SI symbol for minute or minutes is min (for time measurement) or the prime symbol after a number, e.g. 5' (for angle measurement, even if it is informally used for time).",NA,337
"w/m2","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",324
"centimeters","CentiM","Centimeter","http://qudt.org/vocab/unit/CentiM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.01,"A centimetre is a unit of length in the metric system, equal to one hundredth of a metre, which is the SI base unit of length. Centi is the SI prefix for a factor of 10.  The centimetre is the base unit of length in the now deprecated centimetre-gram-second (CGS) system of units.",NA,324
