Format,Example,Regex
YYYY-MM-DDThhmm-hhmm,1976-09-23T1111-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hhmm-hh,1976-09-23 1111-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DDThhmm-hh,1976-09-23T1111-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)\-([0-1]\d|2[0-4])$
YYYY-MM-DD hh,1976-09-23 11,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])$
YYYY-MM-DDThh,1976-09-23T11,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])$
YYYY-MM-DD hhZ,1976-09-23 11Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])Z$
YYYY-MM-DDThhZ,1976-09-23T11Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])Z$
YYYY-MM-DD hh+hh:mm,1976-09-23 11+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh+hh:mm,1976-09-23T11+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh+hhmm,1976-09-23 11+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThh+hhmm,1976-09-23T11+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hh+hh,1976-09-23 11+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\+([0-1]\d|2[0-4])$
YYYY-MM-DDThh+hh,1976-09-23T11+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\+([0-1]\d|2[0-4])$
YYYY-MM-DD hh-hh:mm,1976-09-23 11-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThh-hh:mm,1976-09-23T11-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hh-hhmm,1976-09-23 11-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThh-hhmm,1976-09-23T11-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hh-hh,1976-09-23 11-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])\-([0-1]\d|2[0-4])$
YYYY-MM-DDThh-hh,1976-09-23T11-07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])\-([0-1]\d|2[0-4])$
YYYY,1976,^(\d\d\d\d)$
YYYYMMDD,19760923,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)$
YYYYMMDD hh:mm:ss.sss,19760923 11:11:11.888,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)$
YYYYMMDDThh:mm:ss.sss,19760923T11:11:11.888,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)$
YYYYMMDD hh:mm:ss.sssZ,19760923 11:11:11.888Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)Z$
YYYYMMDDThh:mm:ss.sssZ,19760923T11:11:11.888Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)Z$
YYYYMMDD hh:mm:ss.sss+hh:mm,19760923 11:11:11.888+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm:ss.sss+hh:mm,19760923T11:11:11.888+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm:ss.sss+hhmm,19760923 11:11:11.888+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm:ss.sss+hhmm,19760923T11:11:11.888+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm:ss.sss+hh,19760923 11:11:11.888+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYYMMDDThh:mm:ss.sss+hh,19760923T11:11:11.888+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYYMMDD hh:mm:ss.sss-hh:mm,19760923 11:11:11.888-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm:ss.sss-hh:mm,19760923T11:11:11.888-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm:ss.sss-hhmm,19760923 11:11:11.888-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm:ss.sss-hhmm,19760923T11:11:11.888-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm:ss.sss-hh,19760923 11:11:11.888-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYYMMDDThh:mm:ss.sss-hh,19760923T11:11:11.888-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYYMMDD hhmmss.sss,19760923 111111.888,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)$
YYYYMMDDThhmmss.sss,19760923T111111.888,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)$
YYYYMMDD hhmmss.sssZ,19760923 111111.888Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)Z$
YYYYMMDDThhmmss.sssZ,19760923T111111.888Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)Z$
YYYYMMDD hhmmss.sss+hh:mm,19760923 111111.888+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThhmmss.sss+hh:mm,19760923T111111.888+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hhmmss.sss+hhmm,19760923 111111.888+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThhmmss.sss+hhmm,19760923T111111.888+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hhmmss.sss+hh,19760923 111111.888+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYYMMDDThhmmss.sss+hh,19760923T111111.888+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYYMMDD hhmmss.sss-hh:mm,19760923 111111.888-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThhmmss.sss-hh:mm,19760923T111111.888-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hhmmss.sss-hhmm,19760923 111111.888-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThhmmss.sss-hhmm,19760923T111111.888-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hhmmss.sss-hh,19760923 111111.888-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYYMMDDThhmmss.sss-hh,19760923T111111.888-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])$
YYYYMMDD hh:mm:ss,19760923 11:11:11,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)$
YYYYMMDDThh:mm:ss,19760923T11:11:11,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)$
YYYYMMDD hh:mm:ssZ,19760923 11:11:11Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)Z$
YYYYMMDDThh:mm:ssZ,19760923T11:11:11Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)Z$
YYYYMMDD hh:mm:ss+hh:mm,19760923 11:11:11+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm:ss+hh:mm,19760923T11:11:11+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm:ss+hhmm,19760923 11:11:11+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm:ss+hhmm,19760923T11:11:11+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm:ss+hh,19760923 11:11:11+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDDThh:mm:ss+hh,19760923T11:11:11+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDD hh:mm:ss-hh:mm,19760923 11:11:11-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm:ss-hh:mm,19760923T11:11:11-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm:ss-hhmm,19760923 11:11:11-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm:ss-hhmm,19760923T11:11:11-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm:ss-hh,19760923 11:11:11-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDDThh:mm:ss-hh,19760923T11:11:11-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d):([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDD hhmmss,19760923 111111,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)$
YYYYMMDDThhmmss,19760923T111111,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)$
YYYYMMDD hhmmssZ,19760923 111111Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)Z$
YYYYMMDDThhmmssZ,19760923T111111Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)Z$
YYYYMMDD hhmmss+hh:mm,19760923 111111+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThhmmss+hh:mm,19760923T111111+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hhmmss+hhmm,19760923 111111+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThhmmss+hhmm,19760923T111111+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hhmmss+hh,19760923 111111+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDDThhmmss+hh,19760923T111111+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDD hhmmss-hh:mm,19760923 111111-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThhmmss-hh:mm,19760923T111111-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hhmmss-hhmm,19760923 111111-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThhmmss-hhmm,19760923T111111-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hhmmss-hh,19760923 111111-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDDThhmmss-hh,19760923T111111-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDD hh:mm,19760923 11:11,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm,19760923T11:11,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mmZ,19760923 11:11Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)Z$
YYYYMMDDThh:mmZ,19760923T11:11Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)Z$
YYYYMMDD hh:mm+hh:mm,19760923 11:11+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm+hh:mm,19760923T11:11+07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm+hhmm,19760923 11:11+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm+hhmm,19760923T11:11+0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm+hh,19760923 11:11+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDDThh:mm+hh,19760923T11:11+07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\+([0-1]\d|2[0-4])$
YYYYMMDD hh:mm-hh:mm,19760923 11:11-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDDThh:mm-hh:mm,19760923T11:11-07:30,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYYMMDD hh:mm-hhmm,19760923 11:11-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThh:mm-hhmm,19760923T11:11-0730,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hh:mm-hh,19760923 11:11-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDDThh:mm-hh,19760923T11:11-07,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4]):([0-5]\d)\-([0-1]\d|2[0-4])$
YYYYMMDD hhmm,19760923 1111,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDDThhmm,19760923T1111,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)$
YYYYMMDD hhmmZ,19760923 1111Z,^(\d\d\d\d)(01|02|03|04|05|06|07|08|09|10|11|12)(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)Z$
