Format,Example,Regex
YYYY-MM-DDThhmmss.sssZ,1976-09-23T111111.888Z,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)Z$
YYYY-MM-DD hhmmss.sss+hh:mm,1976-09-23 111111.888+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThhmmss.sss+hh:mm,1976-09-23T111111.888+07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hhmmss.sss+hhmm,1976-09-23 111111.888+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThhmmss.sss+hhmm,1976-09-23T111111.888+0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DD hhmmss.sss+hh,1976-09-23 111111.888+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DDThhmmss.sss+hh,1976-09-23T111111.888+07,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\+([0-1]\d|2[0-4])$
YYYY-MM-DD hhmmss.sss-hh:mm,1976-09-23 111111.888-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DDThhmmss.sss-hh:mm,1976-09-23T111111.888-07:30,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4]):([0-5]\d)$
YYYY-MM-DD hhmmss.sss-hhmm,1976-09-23 111111.888-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31) ([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
YYYY-MM-DDThhmmss.sss-hhmm,1976-09-23T111111.888-0730,^(\d\d\d\d)-(01|02|03|04|05|06|07|08|09|10|11|12)-(0[1-9]|[1-2]\d|30|31)T([0-1]\d|2[0-4])([0-5]\d)([0-5]\d)(\.\d\d\d)\-([0-1]\d|2[0-4])([0-5]\d)$
